Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

23.040	104.412
23.100	103.978
23.160	104.972
23.220	104.845
23.280	104.794
23.340	105.456
23.400	107.163
23.460	123.580
23.520	133.221
23.580	145.639
23.640	147.117
23.700	148.582
23.760	151.587
23.820	147.104
23.880	143.347
23.940	145.703
24.000	144.238
24.060	143.538
24.120	132.852
24.180	137.170
24.240	122.816
24.300	105.418
24.360	104.768
24.420	108.857
24.480	112.334
24.540	149.320
24.600	170.475
24.660	176.525
24.720	181.416
24.780	187.670
24.840	186.765
24.900	178.971
24.960	174.207
25.020	174.182
25.080	172.462
25.140	171.151
25.200	160.401
25.260	148.110
25.320	133.107
25.380	111.162
25.440	126.942
